O*NET-SOC,Career_Title,Short_Description,Attributes,Job_Zone
25-1063.00,"Economics Teachers, Postsecondary",,"Economics Teachers, Postsecondary|Economics|Teachers,|Postsecondary",
19-3011.00,Economists,,Economists|Economists,
27-3041.00,Editors,,Editors|Editors,
11-9039.00,"Education Administrators, All Other",,"Education Administrators, All Other|Education|Administrators,|All|Other",
11-9032.00,"Education Administrators, Kindergarten through Secondary",,"Education Administrators, Kindergarten through Secondary|Education|Administrators,|Kindergarten|through|Secondary",
11-9033.00,"Education Administrators, Postsecondary",,"Education Administrators, Postsecondary|Education|Administrators,|Postsecondary",
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",,"Education and Childcare Administrators, Preschool and Daycare|Education|and|Childcare|Administrators,|Preschool",
25-1081.00,"Education Teachers, Postsecondary",,"Education Teachers, Postsecondary|Education|Teachers,|Postsecondary",
25-9099.00,"Educational Instruction and Library Workers, All Other",,"Educational Instruction and Library Workers, All Other|Educational|Instruction|and|Library|Workers,",
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",,"Educational, Guidance, and Career Counselors and Advisors|Educational,|Guidance,|and|Career|Counselors",
49-2092.00,"Electric Motor, Power Tool, and Related Repairers",,"Electric Motor, Power Tool, and Related Repairers|Electric|Motor,|Power|Tool,|and",
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,,Electrical and Electronic Engineering Technologists and Technicians|Electrical|and|Electronic|Engineering|Technologists,
51-2022.00,Electrical and Electronic Equipment Assemblers,,Electrical and Electronic Equipment Assemblers|Electrical|and|Electronic|Equipment|Assemblers,
17-3012.00,Electrical and Electronics Drafters,,Electrical and Electronics Drafters|Electrical|and|Electronics|Drafters,
49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",,"Electrical and Electronics Installers and Repairers, Transportation Equipment|Electrical|and|Electronics|Installers|and",
49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",,"Electrical and Electronics Repairers, Commercial and Industrial Equipment|Electrical|and|Electronics|Repairers,|Commercial",
49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay|Electrical|and|Electronics|Repairers,|Powerhouse,",
17-2071.00,Electrical Engineers,,Electrical Engineers|Electrical|Engineers,
49-9051.00,Electrical Power-Line Installers and Repairers,,Electrical Power-Line Installers and Repairers|Electrical|Power|Line|Installers|and,
47-2111.00,Electricians,,Electricians|Electricians,
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,,Electro-Mechanical and Mechatronics Technologists and Technicians|Electro|Mechanical|and|Mechatronics|Technologists,
51-2023.00,Electromechanical Equipment Assemblers,,Electromechanical Equipment Assemblers|Electromechanical|Equipment|Assemblers,
49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",,"Electronic Equipment Installers and Repairers, Motor Vehicles|Electronic|Equipment|Installers|and|Repairers,",
17-2072.00,"Electronics Engineers, Except Computer",,"Electronics Engineers, Except Computer|Electronics|Engineers,|Except|Computer",
25-2021.00,"Elementary School Teachers, Except Special Education",,"Elementary School Teachers, Except Special Education|Elementary|School|Teachers,|Except|Special",
47-4021.00,Elevator and Escalator Installers and Repairers,,Elevator and Escalator Installers and Repairers|Elevator|and|Escalator|Installers|and,
43-4061.00,"Eligibility Interviewers, Government Programs",,"Eligibility Interviewers, Government Programs|Eligibility|Interviewers,|Government|Programs",
39-4011.00,Embalmers,,Embalmers|Embalmers,
11-9161.00,Emergency Management Directors,,Emergency Management Directors|Emergency|Management|Directors,
29-2042.00,Emergency Medical Technicians,,Emergency Medical Technicians|Emergency|Medical|Technicians,
29-1214.00,Emergency Medicine Physicians,,Emergency Medicine Physicians|Emergency|Medicine|Physicians,
31-9099.02,Endoscopy Technicians,,Endoscopy Technicians|Endoscopy|Technicians,
47-4011.01,Energy Auditors,,Energy Auditors|Energy|Auditors,
17-2199.03,"Energy Engineers, Except Wind and Solar",,"Energy Engineers, Except Wind and Solar|Energy|Engineers,|Except|Wind|and",
51-2031.00,Engine and Other Machine Assemblers,,Engine and Other Machine Assemblers|Engine|and|Other|Machine|Assemblers,
25-1032.00,"Engineering Teachers, Postsecondary",,"Engineering Teachers, Postsecondary|Engineering|Teachers,|Postsecondary",
17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",,"Engineering Technologists and Technicians, Except Drafters, All Other|Engineering|Technologists|and|Technicians,|Except",
17-2199.00,"Engineers, All Other",,"Engineers, All Other|Engineers,|All|Other",
25-1123.00,"English Language and Literature Teachers, Postsecondary",,"English Language and Literature Teachers, Postsecondary|English|Language|and|Literature|Teachers,",
27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",,"Entertainers and Performers, Sports and Related Workers, All Other|Entertainers|and|Performers,|Sports|and",
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",,"Entertainment and Recreation Managers, Except Gambling|Entertainment|and|Recreation|Managers,|Except",
39-3099.00,"Entertainment Attendants and Related Workers, All Other",,"Entertainment Attendants and Related Workers, All Other|Entertainment|Attendants|and|Related|Workers,",
13-1041.01,Environmental Compliance Inspectors,,Environmental Compliance Inspectors|Environmental|Compliance|Inspectors,
19-3011.01,Environmental Economists,,Environmental Economists|Environmental|Economists,
17-3025.00,Environmental Engineering Technologists and Technicians,,Environmental Engineering Technologists and Technicians|Environmental|Engineering|Technologists|and|Technicians,
17-2081.00,Environmental Engineers,,Environmental Engineers|Environmental|Engineers,
19-2041.02,Environmental Restoration Planners,,Environmental Restoration Planners|Environmental|Restoration|Planners,
19-4042.00,"Environmental Science and Protection Technicians, Including Health",,"Environmental Science and Protection Technicians, Including Health|Environmental|Science|and|Protection|Technicians,",
25-1053.00,"Environmental Science Teachers, Postsecondary",,"Environmental Science Teachers, Postsecondary|Environmental|Science|Teachers,|Postsecondary",
19-2041.00,"Environmental Scientists and Specialists, Including Health",,"Environmental Scientists and Specialists, Including Health|Environmental|Scientists|and|Specialists,|Including",
19-1041.00,Epidemiologists,,Epidemiologists|Epidemiologists,
13-1041.03,Equal Opportunity Representatives and Officers,,Equal Opportunity Representatives and Officers|Equal|Opportunity|Representatives|and|Officers,
51-9194.00,Etchers and Engravers,,Etchers and Engravers|Etchers|and|Engravers,
47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining",,"Excavating and Loading Machine and Dragline Operators, Surface Mining|Excavating|and|Loading|Machine|and",
43-6011.00,Executive Secretaries and Executive Administrative Assistants,,Executive Secretaries and Executive Administrative Assistants|Executive|Secretaries|and|Executive|Administrative,
29-1128.00,Exercise Physiologists,,Exercise Physiologists|Exercise|Physiologists,
39-9031.00,Exercise Trainers and Group Fitness Instructors,,Exercise Trainers and Group Fitness Instructors|Exercise|Trainers|and|Group|Fitness,
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",,"Explosives Workers, Ordnance Handling Experts, and Blasters|Explosives|Workers,|Ordnance|Handling|Experts,",
47-5099.00,"Extraction Workers, All Other",,"Extraction Workers, All Other|Extraction|Workers,|All|Other",
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic|Extruding|and|Drawing|Machine|Setters,",
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers|Extruding|and|Forming|Machine|Setters,",
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders|Extruding,|Forming,|Pressing,|and|Compacting",
51-6092.00,Fabric and Apparel Patternmakers,,Fabric and Apparel Patternmakers|Fabric|and|Apparel|Patternmakers,
11-3013.00,Facilities Managers,,Facilities Managers|Facilities|Managers,
45-4021.00,Fallers,,Fallers|Fallers,
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",,"Family and Consumer Sciences Teachers, Postsecondary|Family|and|Consumer|Sciences|Teachers,",
29-1215.00,Family Medicine Physicians,,Family Medicine Physicians|Family|Medicine|Physicians,
25-9021.00,Farm and Home Management Educators,,Farm and Home Management Educators|Farm|and|Home|Management|Educators,
49-3041.00,Farm Equipment Mechanics and Service Technicians,,Farm Equipment Mechanics and Service Technicians|Farm|Equipment|Mechanics|and|Service,
13-1074.00,Farm Labor Contractors,,Farm Labor Contractors|Farm|Labor|Contractors,
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",,"Farmers, Ranchers, and Other Agricultural Managers|Farmers,|Ranchers,|and|Other|Agricultural",
45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse|Farmworkers|and|Laborers,|Crop,|Nursery,",
45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,"Farmworkers, Farm, Ranch, and Aquacultural Animals|Farmworkers,|Farm,|Ranch,|and|Aquacultural",
27-1022.00,Fashion Designers,,Fashion Designers|Fashion|Designers,
35-3023.00,Fast Food and Counter Workers,,Fast Food and Counter Workers|Fast|Food|and|Counter|Workers,
47-4031.00,Fence Erectors,,Fence Erectors|Fence|Erectors,
51-2051.00,Fiberglass Laminators and Fabricators,,Fiberglass Laminators and Fabricators|Fiberglass|Laminators|and|Fabricators,
43-4071.00,File Clerks,,File Clerks|File|Clerks,
27-4032.00,Film and Video Editors,,Film and Video Editors|Film|and|Video|Editors,
13-2051.00,Financial and Investment Analysts,,Financial and Investment Analysts|Financial|and|Investment|Analysts,
43-3099.00,"Financial Clerks, All Other",,"Financial Clerks, All Other|Financial|Clerks,|All|Other",
13-2061.00,Financial Examiners,,Financial Examiners|Financial|Examiners,
11-3031.00,Financial Managers,,Financial Managers|Financial|Managers,
13-2099.01,Financial Quantitative Analysts,,Financial Quantitative Analysts|Financial|Quantitative|Analysts,
13-2054.00,Financial Risk Specialists,,Financial Risk Specialists|Financial|Risk|Specialists,
13-2099.00,"Financial Specialists, All Other",,"Financial Specialists, All Other|Financial|Specialists,|All|Other",
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",,"Fine Artists, Including Painters, Sculptors, and Illustrators|Fine|Artists,|Including|Painters,|Sculptors,",
33-2021.00,Fire Inspectors and Investigators,,Fire Inspectors and Investigators|Fire|Inspectors|and|Investigators,
17-2111.02,Fire-Prevention and Protection Engineers,,Fire-Prevention and Protection Engineers|Fire|Prevention|and|Protection|Engineers,
33-2011.00,Firefighters,,Firefighters|Firefighters,
55-2011.00,First-Line Supervisors of Air Crew Members,,First-Line Supervisors of Air Crew Members|First|Line|Supervisors|Air|Crew,
55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists,,First-Line Supervisors of All Other Tactical Operations Specialists|First|Line|Supervisors|All|Other,
47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,,First-Line Supervisors of Construction Trades and Extraction Workers|First|Line|Supervisors|Construction|Trades,
33-1011.00,First-Line Supervisors of Correctional Officers,,First-Line Supervisors of Correctional Officers|First|Line|Supervisors|Correctional|Officers,
39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services|First|Line|Supervisors|Entertainment|and",
45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",,"First-Line Supervisors of Farming, Fishing, and Forestry Workers|First|Line|Supervisors|Farming,|Fishing,",
33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,,First-Line Supervisors of Firefighting and Prevention Workers|First|Line|Supervisors|Firefighting|and,
35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,,First-Line Supervisors of Food Preparation and Serving Workers|First|Line|Supervisors|Food|Preparation,
39-1013.00,First-Line Supervisors of Gambling Services Workers,,First-Line Supervisors of Gambling Services Workers|First|Line|Supervisors|Gambling|Services,
53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand|First|Line|Supervisors|Helpers,|Laborers,",
37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,,First-Line Supervisors of Housekeeping and Janitorial Workers|First|Line|Supervisors|Housekeeping|and,
37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers|First|Line|Supervisors|Landscaping,|Lawn",
53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,,First-Line Supervisors of Material-Moving Machine and Vehicle Operators|First|Line|Supervisors|Material|Moving,
49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",,"First-Line Supervisors of Mechanics, Installers, and Repairers|First|Line|Supervisors|Mechanics,|Installers,",
41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,,First-Line Supervisors of Non-Retail Sales Workers|First|Line|Supervisors|Non|Retail,
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,,First-Line Supervisors of Office and Administrative Support Workers|First|Line|Supervisors|Office|and,
53-1044.00,First-Line Supervisors of Passenger Attendants,,First-Line Supervisors of Passenger Attendants|First|Line|Supervisors|Passenger|Attendants,
39-1022.00,First-Line Supervisors of Personal Service Workers,,First-Line Supervisors of Personal Service Workers|First|Line|Supervisors|Personal|Service,
33-1012.00,First-Line Supervisors of Police and Detectives,,First-Line Supervisors of Police and Detectives|First|Line|Supervisors|Police|and,
51-1011.00,First-Line Supervisors of Production and Operating Workers,,First-Line Supervisors of Production and Operating Workers|First|Line|Supervisors|Production|and,
33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",,"First-Line Supervisors of Protective Service Workers, All Other|First|Line|Supervisors|Protective|Service",
41-1011.00,First-Line Supervisors of Retail Sales Workers,,First-Line Supervisors of Retail Sales Workers|First|Line|Supervisors|Retail|Sales,
33-1091.00,First-Line Supervisors of Security Workers,,First-Line Supervisors of Security Workers|First|Line|Supervisors|Security|Workers,
53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",,"First-Line Supervisors of Transportation Workers, All Other|First|Line|Supervisors|Transportation|Workers,",
55-2012.00,First-Line Supervisors of Weapons Specialists/Crew Members,,First-Line Supervisors of Weapons Specialists/Crew Members|First|Line|Supervisors|Weapons|Specialists,
33-3031.00,Fish and Game Wardens,,Fish and Game Wardens|Fish|and|Game|Wardens,
45-3031.00,Fishing and Hunting Workers,,Fishing and Hunting Workers|Fishing|and|Hunting|Workers,
11-9179.01,Fitness and Wellness Coordinators,,Fitness and Wellness Coordinators|Fitness|and|Wellness|Coordinators,
53-2031.00,Flight Attendants,,Flight Attendants|Flight|Attendants,
47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",,"Floor Layers, Except Carpet, Wood, and Hard Tiles|Floor|Layers,|Except|Carpet,|Wood,",
47-2043.00,Floor Sanders and Finishers,,Floor Sanders and Finishers|Floor|Sanders|and|Finishers,
27-1023.00,Floral Designers,,Floral Designers|Floral|Designers,
51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders|Food|and|Tobacco|Roasting,|Baking,",
51-3092.00,Food Batchmakers,,Food Batchmakers|Food|Batchmakers,
51-3093.00,Food Cooking Machine Operators and Tenders,,Food Cooking Machine Operators and Tenders|Food|Cooking|Machine|Operators|and,
35-9099.00,"Food Preparation and Serving Related Workers, All Other",,"Food Preparation and Serving Related Workers, All Other|Food|Preparation|and|Serving|Related",
35-2021.00,Food Preparation Workers,,Food Preparation Workers|Food|Preparation|Workers,
51-3099.00,"Food Processing Workers, All Other",,"Food Processing Workers, All Other|Food|Processing|Workers,|All|Other",
19-4013.00,Food Science Technicians,,Food Science Technicians|Food|Science|Technicians,
19-1012.00,Food Scientists and Technologists,,Food Scientists and Technologists|Food|Scientists|and|Technologists,
35-3041.00,"Food Servers, Nonrestaurant",,"Food Servers, Nonrestaurant|Food|Servers,|Nonrestaurant",
11-9051.00,Food Service Managers,,Food Service Managers|Food|Service|Managers,
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",,"Foreign Language and Literature Teachers, Postsecondary|Foreign|Language|and|Literature|Teachers,",
19-4092.00,Forensic Science Technicians,,Forensic Science Technicians|Forensic|Science|Technicians,
19-4071.00,Forest and Conservation Technicians,,Forest and Conservation Technicians|Forest|and|Conservation|Technicians,
45-4011.00,Forest and Conservation Workers,,Forest and Conservation Workers|Forest|and|Conservation|Workers,
33-2022.00,Forest Fire Inspectors and Prevention Specialists,,Forest Fire Inspectors and Prevention Specialists|Forest|Fire|Inspectors|and|Prevention,
19-1032.00,Foresters,,Foresters|Foresters,
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",,"Forestry and Conservation Science Teachers, Postsecondary|Forestry|and|Conservation|Science|Teachers,",
51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic|Forging|Machine|Setters,|Operators,|and",
51-4071.00,Foundry Mold and Coremakers,,Foundry Mold and Coremakers|Foundry|Mold|and|Coremakers,
13-2099.04,"Fraud Examiners, Investigators and Analysts",,"Fraud Examiners, Investigators and Analysts|Fraud|Examiners,|Investigators|and|Analysts",
43-5011.01,Freight Forwarders,,Freight Forwarders|Freight|Forwarders,
17-2141.01,Fuel Cell Engineers,,Fuel Cell Engineers|Fuel|Cell|Engineers,
13-1131.00,Fundraisers,,Fundraisers|Fundraisers,
11-2033.00,Fundraising Managers,,Fundraising Managers|Fundraising|Managers,
39-4021.00,Funeral Attendants,,Funeral Attendants|Funeral|Attendants,
11-9171.00,Funeral Home Managers,,Funeral Home Managers|Funeral|Home|Managers,
51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders|Furnace,|Kiln,|Oven,|Drier,|and",
51-7021.00,Furniture Finishers,,Furniture Finishers|Furniture|Finishers,
39-3012.00,Gambling and Sports Book Writers and Runners,,Gambling and Sports Book Writers and Runners|Gambling|and|Sports|Book|Writers,
43-3041.00,Gambling Cage Workers,,Gambling Cage Workers|Gambling|Cage|Workers,
41-2012.00,Gambling Change Persons and Booth Cashiers,,Gambling Change Persons and Booth Cashiers|Gambling|Change|Persons|and|Booth,
39-3011.00,Gambling Dealers,,Gambling Dealers|Gambling|Dealers,
11-9071.00,Gambling Managers,,Gambling Managers|Gambling|Managers,
39-3019.00,"Gambling Service Workers, All Other",,"Gambling Service Workers, All Other|Gambling|Service|Workers,|All|Other",
33-9031.00,Gambling Surveillance Officers and Gambling Investigators,,Gambling Surveillance Officers and Gambling Investigators|Gambling|Surveillance|Officers|and|Gambling,
53-7071.00,Gas Compressor and Gas Pumping Station Operators,,Gas Compressor and Gas Pumping Station Operators|Gas|Compressor|and|Gas|Pumping,
51-8092.00,Gas Plant Operators,,Gas Plant Operators|Gas|Plant|Operators,
51-9071.06,Gem and Diamond Workers,,Gem and Diamond Workers|Gem|and|Diamond|Workers,
11-1021.00,General and Operations Managers,,General and Operations Managers|General|and|Operations|Managers,
29-1216.00,General Internal Medicine Physicians,,General Internal Medicine Physicians|General|Internal|Medicine|Physicians,
29-9092.00,Genetic Counselors,,Genetic Counselors|Genetic|Counselors,
19-1029.03,Geneticists,,Geneticists|Geneticists,
17-1022.01,Geodetic Surveyors,,Geodetic Surveyors|Geodetic|Surveyors,
19-3092.00,Geographers,,Geographers|Geographers,
15-1299.02,Geographic Information Systems Technologists and Technicians,,Geographic Information Systems Technologists and Technicians|Geographic|Information|Systems|Technologists|and,
25-1064.00,"Geography Teachers, Postsecondary",,"Geography Teachers, Postsecondary|Geography|Teachers,|Postsecondary",
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",,"Geological Technicians, Except Hydrologic Technicians|Geological|Technicians,|Except|Hydrologic|Technicians",
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",,"Geoscientists, Except Hydrologists and Geographers|Geoscientists,|Except|Hydrologists|and|Geographers",
11-3051.02,Geothermal Production Managers,,Geothermal Production Managers|Geothermal|Production|Managers,
49-9099.01,Geothermal Technicians,,Geothermal Technicians|Geothermal|Technicians,
51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",,"Glass Blowers, Molders, Benders, and Finishers|Glass|Blowers,|Molders,|Benders,|and",
47-2121.00,Glaziers,,Glaziers|Glaziers,
13-1041.04,Government Property Inspectors and Investigators,,Government Property Inspectors and Investigators|Government|Property|Inspectors|and|Investigators,
45-2041.00,"Graders and Sorters, Agricultural Products",,"Graders and Sorters, Agricultural Products|Graders|and|Sorters,|Agricultural|Products",
27-1024.00,Graphic Designers,,Graphic Designers|Graphic|Designers,
51-9022.00,"Grinding and Polishing Workers, Hand",,"Grinding and Polishing Workers, Hand|Grinding|and|Polishing|Workers,|Hand",
51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic|Grinding,|Lapping,|Polishing,|and|Buffing",
37-3019.00,"Grounds Maintenance Workers, All Other",,"Grounds Maintenance Workers, All Other|Grounds|Maintenance|Workers,|All|Other",
39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",,"Hairdressers, Hairstylists, and Cosmetologists|Hairdressers,|Hairstylists,|and|Cosmetologists",
47-4041.00,Hazardous Materials Removal Workers,,Hazardous Materials Removal Workers|Hazardous|Materials|Removal|Workers,
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors|Health|and|Safety|Engineers,|Except",
21-1091.00,Health Education Specialists,,Health Education Specialists|Health|Education|Specialists,
15-1211.01,Health Informatics Specialists,,Health Informatics Specialists|Health|Informatics|Specialists,
29-9021.00,Health Information Technologists and Medical Registrars,,Health Information Technologists and Medical Registrars|Health|Information|Technologists|and|Medical,
25-1071.00,"Health Specialties Teachers, Postsecondary",,"Health Specialties Teachers, Postsecondary|Health|Specialties|Teachers,|Postsecondary",
29-2099.00,"Health Technologists and Technicians, All Other",,"Health Technologists and Technicians, All Other|Health|Technologists|and|Technicians,|All",
29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",,"Healthcare Diagnosing or Treating Practitioners, All Other|Healthcare|Diagnosing|Treating|Practitioners,|All",
29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",,"Healthcare Practitioners and Technical Workers, All Other|Healthcare|Practitioners|and|Technical|Workers,",
21-1022.00,Healthcare Social Workers,,Healthcare Social Workers|Healthcare|Social|Workers,
31-9099.00,"Healthcare Support Workers, All Other",,"Healthcare Support Workers, All Other|Healthcare|Support|Workers,|All|Other",
29-2092.00,Hearing Aid Specialists,,Hearing Aid Specialists|Hearing|Aid|Specialists,
51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic|Heat|Treating|Equipment|Setters,|Operators,",
49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers|Heating,|Air|Conditioning,|and|Refrigeration",
53-3032.00,Heavy and Tractor-Trailer Truck Drivers,,Heavy and Tractor-Trailer Truck Drivers|Heavy|and|Tractor|Trailer|Truck,
47-3019.00,"Helpers, Construction Trades, All Other",,"Helpers, Construction Trades, All Other|Helpers,|Construction|Trades,|All|Other",
47-3011.00,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters|Helpers|Brickmasons,|Blockmasons,|Stonemasons,|and",
47-3012.00,Helpers--Carpenters,,Helpers--Carpenters|Helpers|Carpenters,
47-3013.00,Helpers--Electricians,,Helpers--Electricians|Helpers|Electricians,
47-5081.00,Helpers--Extraction Workers,,Helpers--Extraction Workers|Helpers|Extraction|Workers,
49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",,"Helpers--Installation, Maintenance, and Repair Workers|Helpers|Installation,|Maintenance,|and|Repair",
47-3014.00,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons|Helpers|Painters,|Paperhangers,|Plasterers,|and",
47-3015.00,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters|Helpers|Pipelayers,|Plumbers,|Pipefitters,|and",
51-9198.00,Helpers--Production Workers,,Helpers--Production Workers|Helpers|Production|Workers,
47-3016.00,Helpers--Roofers,,Helpers--Roofers|Helpers|Roofers,
47-4051.00,Highway Maintenance Workers,,Highway Maintenance Workers|Highway|Maintenance|Workers,
29-2012.01,Histology Technicians,,Histology Technicians|Histology|Technicians,
19-3093.00,Historians,,Historians|Historians,
25-1125.00,"History Teachers, Postsecondary",,"History Teachers, Postsecondary|History|Teachers,|Postsecondary",
29-2011.04,Histotechnologists,,Histotechnologists|Histotechnologists,
53-7041.00,Hoist and Winch Operators,,Hoist and Winch Operators|Hoist|and|Winch|Operators,
49-9031.00,Home Appliance Repairers,,Home Appliance Repairers|Home|Appliance|Repairers,
31-1121.00,Home Health Aides,,Home Health Aides|Home|Health|Aides,
29-1229.02,Hospitalists,,Hospitalists|Hospitalists,
35-9031.00,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop|Hosts|and|Hostesses,|Restaurant,|Lounge,",
43-4081.00,"Hotel, Motel, and Resort Desk Clerks",,"Hotel, Motel, and Resort Desk Clerks|Hotel,|Motel,|and|Resort|Desk",
17-2112.01,Human Factors Engineers and Ergonomists,,Human Factors Engineers and Ergonomists|Human|Factors|Engineers|and|Ergonomists,
43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",,"Human Resources Assistants, Except Payroll and Timekeeping|Human|Resources|Assistants,|Except|Payroll",
11-3121.00,Human Resources Managers,,Human Resources Managers|Human|Resources|Managers,
13-1071.00,Human Resources Specialists,,Human Resources Specialists|Human|Resources|Specialists,
51-8013.04,Hydroelectric Plant Technicians,,Hydroelectric Plant Technicians|Hydroelectric|Plant|Technicians,
11-3051.06,Hydroelectric Production Managers,,Hydroelectric Production Managers|Hydroelectric|Production|Managers,
19-4044.00,Hydrologic Technicians,,Hydrologic Technicians|Hydrologic|Technicians,
19-2043.00,Hydrologists,,Hydrologists|Hydrologists,
19-2041.03,Industrial Ecologists,,Industrial Ecologists|Industrial|Ecologists,
17-3026.00,Industrial Engineering Technologists and Technicians,,Industrial Engineering Technologists and Technicians|Industrial|Engineering|Technologists|and|Technicians,
17-2112.00,Industrial Engineers,,Industrial Engineers|Industrial|Engineers,
49-9041.00,Industrial Machinery Mechanics,,Industrial Machinery Mechanics|Industrial|Machinery|Mechanics,
11-3051.00,Industrial Production Managers,,Industrial Production Managers|Industrial|Production|Managers,
53-7051.00,Industrial Truck and Tractor Operators,,Industrial Truck and Tractor Operators|Industrial|Truck|and|Tractor|Operators,
19-3032.00,Industrial-Organizational Psychologists,,Industrial-Organizational Psychologists|Industrial|Organizational|Psychologists,
55-3016.00,Infantry,,Infantry|Infantry,
55-1016.00,Infantry Officers,,Infantry Officers|Infantry|Officers,
43-4199.00,"Information and Record Clerks, All Other",,"Information and Record Clerks, All Other|Information|and|Record|Clerks,|All",
15-1212.00,Information Security Analysts,,Information Security Analysts|Information|Security|Analysts,
15-1299.05,Information Security Engineers,,Information Security Engineers|Information|Security|Engineers,
